Feature,Category,ASD_Mean,Control_Mean,ASD_Std,Control_Std,Test_Used,p_value,p_corrected,Significant_FDR,Significant_Uncorrected
Intra_Frontoparietal_AvgWeight,Intra,0.19891999162804092,0.18475957798192086,0.06281921291838358,0.05376914765886875,t-test,0.10549643839190807,0.3692375343716783,False,False
Intra_Limbic_EnergyBlock,Intra,-14.204551216429165,-11.962001944186513,9.655820927397452,8.32146966787124,Mann-Whitney U,0.12331751592186115,0.36995254776558345,False,False
Intra_Limbic_AvgFalffW,Intra,0.1369831476039324,0.11723783948334711,0.09258070941022911,0.08178340408827954,Mann-Whitney U,0.16128098103886312,0.4233625752270157,False,False
Intra_DorsalAttn_AvgWeight,Intra,0.17081428936125195,0.17535711747970953,0.07360565922717559,0.05104317860723173,Mann-Whitney U,0.24588683027534608,0.5737359373091409,False,False
Intra_Frontoparietal_AvgFalffW,Intra,0.02487554128544385,0.021805501024695563,0.03089192925424954,0.028502326024374424,Mann-Whitney U,0.4405801493003616,0.8411075577552357,False,False
Intra_Frontoparietal_EnergyBlock,Intra,-6.269942619140338,-5.492960614896724,7.807170947126664,7.2051655985634335,Mann-Whitney U,0.4304722465459998,0.8411075577552357,False,False
Intra_Salience/VentAttn_AvgWeight,Intra,0.20162796428727295,0.20640132661165467,0.06444197817477466,0.050493034696620746,Mann-Whitney U,0.6074857598459221,0.9052916318242492,False,False
Intra_DorsalAttn_EnergyBlock,Intra,-7.890081217687466,-7.351516379732862,6.943543459212813,5.9100699094900895,Mann-Whitney U,0.689746005199428,0.9052916318242492,False,False
Intra_DorsalAttn_AvgFalffW,Intra,0.03760136391085721,0.03509025552518052,0.03304046058966799,0.02819930619061039,Mann-Whitney U,0.689746005199428,0.9052916318242492,False,False
Intra_SomatoMotor_AvgFalffW,Intra,0.028591717838362854,0.027376208682535957,0.03289267657962818,0.03561913210515088,Mann-Whitney U,0.591572378884628,0.9052916318242492,False,False
Intra_SomatoMotor_EnergyBlock,Intra,-7.233704613105754,-6.9261807966815425,8.321847174645935,9.011640422603183,Mann-Whitney U,0.591572378884628,0.9052916318242492,False,False
Intra_Default_EnergyBlock,Intra,-8.421658930694809,-8.215784368754722,10.109621531818677,9.347168657244884,Mann-Whitney U,0.782433663689727,0.9128392743046816,False,False
Intra_Default_AvgFalffW,Intra,0.018200742358996606,0.017759758529840245,0.021901366523931112,0.02026262209821578,Mann-Whitney U,0.7714664988737104,0.9128392743046816,False,False
Intra_Visual_AvgWeight,Intra,0.07789448737948403,0.07737810555716271,0.02367650216592178,0.025251913547270976,Mann-Whitney U,0.9395514443704172,0.9509407751794896,False,False
Intra_Salience/VentAttn_EnergyBlock,Intra,-13.128065829438917,-12.665773022001838,9.97397642094525,9.982627460388077,Mann-Whitney U,0.9509407751794896,0.9509407751794896,False,False
Intra_Salience/VentAttn_AvgFalffW,Intra,0.03740189694996901,0.03608482342450726,0.028415887239160244,0.02844053407517969,Mann-Whitney U,0.9509407751794896,0.9509407751794896,False,False
Inter_Visual__Frontoparietal_AvgFalffW,Inter,0.010989806835616537,0.0056762196498445616,0.012287901973998063,0.01058300137019986,t-test,0.002159467008091706,0.06802321075488875,False,True
Inter_Visual__Frontoparietal_EnergyBlock,Inter,-15.149071717190685,-7.8094516325311485,16.957361092496665,14.594263741143132,t-test,0.002132794772866465,0.06802321075488875,False,True
Inter_Visual__SomatoMotor_AvgWeight,Inter,-0.03374435737457264,-0.05054161241165306,0.041073917335764085,0.04446892588576606,Mann-Whitney U,0.02386656746908461,0.25059895842538843,False,True
Inter_Visual__Salience/VentAttn_AvgWeight,Inter,-0.040890819851649884,-0.05240493033190965,0.03097380433341145,0.030309702241453716,t-test,0.012596011866896241,0.25059895842538843,False,True
Inter_DorsalAttn__Limbic_AvgFalffW,Inter,0.033497844154979264,0.02310706850689017,0.030932829920295692,0.028701527527417676,Mann-Whitney U,0.02247968219366017,0.25059895842538843,False,True
Inter_DorsalAttn__Limbic_EnergyBlock,Inter,-10.538156116697047,-7.112230529106074,9.667336752641866,8.879135353663973,Mann-Whitney U,0.01667629978884579,0.25059895842538843,False,True
Inter_SomatoMotor__Limbic_AvgFalffW,Inter,0.0013833391027232628,0.008484323804019627,0.022384780801132313,0.02141702246448351,Mann-Whitney U,0.04290687450862523,0.2894463793097343,False,True
Inter_SomatoMotor__Limbic_EnergyBlock,Inter,-0.46843166596919744,-2.8304480766037887,7.618307917997846,7.1973320498690345,Mann-Whitney U,0.04409687602534637,0.2894463793097343,False,True
Inter_Visual__Default_EnergyBlock,Inter,-17.75428581243456,-12.320991151478834,19.097512294251377,17.03475815367419,t-test,0.04527620570001244,0.2894463793097343,False,True
Inter_Visual__Default_AvgFalffW,Inter,0.009562905989868045,0.006645737211842541,0.01028448526614902,0.009175886627291588,t-test,0.04594386973170386,0.2894463793097343,False,True
Inter_DorsalAttn__Salience/VentAttn_AvgFalffW,Inter,0.01776635246205909,0.01173024971764764,0.01829046997711283,0.014819541958945992,Mann-Whitney U,0.06430563796738205,0.33760459932875575,False,False
Inter_DorsalAttn__Salience/VentAttn_EnergyBlock,Inter,-10.071170904628927,-6.626707772458203,10.364317995627186,8.378594717977004,Mann-Whitney U,0.06267339128477509,0.33760459932875575,False,False
Inter_Salience/VentAttn__Frontoparietal_AvgWeight,Inter,0.0034192371118908103,0.016076548716526345,0.044921233918154675,0.04857017007542879,t-test,0.07152265525151129,0.34660979083424703,False,False
Inter_SomatoMotor__Default_AvgWeight,Inter,-0.08172064427791116,-0.09420042718192828,0.060506750270409644,0.05451968097903131,Mann-Whitney U,0.09272063436159739,0.38942666431870904,False,False
Inter_Salience/VentAttn__Limbic_EnergyBlock,Inter,-9.758393172711187,-6.946405635338346,11.83470283793756,10.360191272992662,t-test,0.09122429189773244,0.38942666431870904,False,False
Inter_Salience/VentAttn__Limbic_AvgFalffW,Inter,0.024143920474421834,0.01747210276180466,0.02941600314827724,0.02611028823457914,t-test,0.10895929533265808,0.4290272253723412,False,False
Inter_Frontoparietal__Default_AvgWeight,Inter,0.06074548340782657,0.04719996947672975,0.05568000131816351,0.05975343291095569,t-test,0.11778818227975532,0.43650914609556385,False,False
Inter_Salience/VentAttn__Frontoparietal_AvgFalffW,Inter,0.011267883662621056,0.007698084246588357,0.01838945997784801,0.015579249280433067,t-test,0.16105410008810503,0.534021489765822,False,False
Inter_Salience/VentAttn__Frontoparietal_EnergyBlock,Inter,-7.005418703042634,-4.787453424234337,11.402271306682827,9.658410085182371,t-test,0.16017687733797417,0.534021489765822,False,False
Inter_Salience/VentAttn__Limbic_AvgWeight,Inter,-0.03277074585040059,-0.022013244743249373,0.05140168720016948,0.05395587165227857,t-test,0.17291385439369186,0.5446786413401294,False,False
Inter_DorsalAttn__Limbic_AvgWeight,Inter,-0.08373388356002785,-0.07000747489996662,0.050405377860607455,0.04618703570097832,Mann-Whitney U,0.21267360328676488,0.609019863957554,False,False
Inter_DorsalAttn__Default_AvgWeight,Inter,-0.12153455141991029,-0.12915024054532137,0.07329991420000817,0.05894206142196324,Mann-Whitney U,0.20541325821721768,0.609019863957554,False,False
Inter_Visual__SomatoMotor_AvgFalffW,Inter,0.006413307593622083,0.004290924354289045,0.011468764843101855,0.012328555565681422,t-test,0.23386799641405245,0.6139034905868878,False,False
Inter_Visual__SomatoMotor_EnergyBlock,Inter,-8.8457628622968,-5.913289301887814,15.815117691795347,17.005600079858347,t-test,0.2330246243121644,0.6139034905868878,False,False
Inter_Limbic__Frontoparietal_AvgWeight,Inter,-0.043018778005498054,-0.03474146692965291,0.05317375024317367,0.0490408309088225,t-test,0.2788204354325776,0.6607547418273839,False,False
Inter_DorsalAttn__Default_EnergyBlock,Inter,0.36258527554493686,1.8791158349196346,9.866795798802055,9.75356130347822,t-test,0.301205134309586,0.6607547418273839,False,False
Inter_DorsalAttn__Default_AvgFalffW,Inter,-0.0005301764615406184,-0.002852969700550823,0.01521930434489397,0.015017238622453398,t-test,0.30415694465070053,0.6607547418273839,False,False
Inter_Visual__Default_AvgWeight,Inter,-0.04554535161713184,-0.04059172457711327,0.03024131524598069,0.03377216361630318,t-test,0.302023196862233,0.6607547418273839,False,False
Inter_Salience/VentAttn__Default_AvgWeight,Inter,-0.08534173483471409,-0.09517860061192125,0.05938586000017712,0.06141689248534213,t-test,0.2764622081006394,0.6607547418273839,False,False
Inter_SomatoMotor__Salience/VentAttn_AvgWeight,Inter,0.1298456031456656,0.121329634258837,0.058875997436559316,0.05613764640599175,t-test,0.3218648495788611,0.6662592513081146,False,False
Inter_Visual__Frontoparietal_AvgWeight,Inter,-0.06730862587346005,-0.06289107330963684,0.03140314960602676,0.02899328034682916,t-test,0.3278418538182786,0.6662592513081146,False,False
Inter_Limbic__Default_AvgWeight,Inter,0.09827118245128337,0.08825869693361796,0.061021502990822395,0.0493530574456322,Mann-Whitney U,0.42546918839414627,0.8376424646509755,False,False
Inter_Visual__Salience/VentAttn_AvgFalffW,Inter,0.011574932691038804,0.01018091829762334,0.01246874063644331,0.011446434320652715,Mann-Whitney U,0.5113429486641311,0.8435012116447329,False,False
Inter_Visual__Salience/VentAttn_EnergyBlock,Inter,-18.7518724382399,-16.48958667809348,20.198520288506256,18.542485203867475,Mann-Whitney U,0.5113429486641311,0.8435012116447329,False,False
Inter_SomatoMotor__Salience/VentAttn_AvgFalffW,Inter,0.017329137262836802,0.01390406602074889,0.019117649191513767,0.01768776879362138,Mann-Whitney U,0.5355563248537987,0.8435012116447329,False,False
Inter_SomatoMotor__Salience/VentAttn_EnergyBlock,Inter,-10.76139424022206,-8.634424998885475,11.872060147930082,10.984104420838912,Mann-Whitney U,0.5355563248537987,0.8435012116447329,False,False
Inter_SomatoMotor__Limbic_AvgWeight,Inter,-0.012837758552575795,-0.018270299640744087,0.05703722515608917,0.049864565269084546,Mann-Whitney U,0.5205876716361875,0.8435012116447329,False,False
Inter_SomatoMotor__Frontoparietal_EnergyBlock,Inter,-2.993674530388511,-2.10538115505379,8.5975846320158,7.800961881370166,t-test,0.4684803480155372,0.8435012116447329,False,False
Inter_SomatoMotor__Frontoparietal_AvgFalffW,Inter,0.00562852331875867,0.003947102995196507,0.01627718146860249,0.014770845578698311,t-test,0.4685908572065516,0.8435012116447329,False,False
Inter_SomatoMotor__Frontoparietal_AvgWeight,Inter,-0.08900645154920978,-0.08156853349185274,0.060015305520089594,0.05493788427549931,Mann-Whitney U,0.5113429486641311,0.8435012116447329,False,False
Inter_Salience/VentAttn__Default_EnergyBlock,Inter,-6.7085538465963275,-5.738635162750335,12.111465122082382,12.963411841193595,t-test,0.6050065951510117,0.90786337664615,False,False
Inter_Salience/VentAttn__Default_AvgFalffW,Inter,0.008029065668682745,0.006870695129765812,0.014474587589106566,0.0154918737967176,t-test,0.6052422510974333,0.90786337664615,False,False
Inter_Visual__DorsalAttn_AvgWeight,Inter,-0.004364652014232996,-0.0027433849292279487,0.029929861887213874,0.026267149330157655,t-test,0.699433619778214,0.9773617837928811,False,False
Inter_Visual__DorsalAttn_EnergyBlock,Inter,-11.636225962303852,-11.002312738466266,17.700779689032792,16.052255363577032,Mann-Whitney U,0.6939675879289424,0.9773617837928811,False,False
Inter_Frontoparietal__Default_EnergyBlock,Inter,-11.600456327739698,-11.797664107019656,10.72261138735092,9.904528025347336,Mann-Whitney U,0.8067113136068225,0.9773617837928811,False,False
Inter_Visual__DorsalAttn_AvgFalffW,Inter,0.009238155465443975,0.008734078065820178,0.014050327375540421,0.012746098178761989,Mann-Whitney U,0.6939675879289424,0.9773617837928811,False,False
Inter_Visual__Limbic_EnergyBlock,Inter,-0.8056704142516466,0.26091815389812656,19.540308771984733,15.131923252669022,Mann-Whitney U,0.749670657263164,0.9773617837928811,False,False
Inter_Visual__Limbic_AvgFalffW,Inter,0.0009545037077756583,-0.00016756265886962718,0.0218875530866138,0.0170031467672991,Mann-Whitney U,0.7583661190165095,0.9773617837928811,False,False
Inter_Frontoparietal__Default_AvgFalffW,Inter,0.01623351353778245,0.016512388185115138,0.015175214256519205,0.014010687733468852,Mann-Whitney U,0.791238756854027,0.9773617837928811,False,False
Inter_Limbic__Default_EnergyBlock,Inter,-3.7970808319397973,-3.9493942841014005,10.898420909578045,12.488191905442726,Mann-Whitney U,0.780236690788142,0.9773617837928811,False,False
Inter_Limbic__Default_AvgFalffW,Inter,0.00847840883575595,0.008812047370849398,0.02401886528061894,0.027508739993225347,Mann-Whitney U,0.8000705690805376,0.9773617837928811,False,False
Inter_Limbic__Frontoparietal_EnergyBlock,Inter,-1.442880276552944,-1.0669339031398022,8.629202999077345,7.005681884200067,Mann-Whitney U,0.7670922535673175,0.9773617837928811,False,False
Inter_Limbic__Frontoparietal_AvgFalffW,Inter,0.0042840943197474295,0.003354530348713106,0.025351305235403226,0.020659264058406148,Mann-Whitney U,0.8267154759582924,0.9826995280258948,False,False
Inter_Visual__Limbic_AvgWeight,Inter,-0.009839604829788658,-0.010506861957900442,0.03387258010474291,0.03195538958833583,t-test,0.8919816606857001,0.9851596391469701,False,False
Inter_SomatoMotor__DorsalAttn_AvgFalffW,Inter,0.005940368566908638,0.005762117211138262,0.017190312215542965,0.018910163513454654,t-test,0.9473854877435428,0.9851596391469701,False,False
Inter_SomatoMotor__DorsalAttn_EnergyBlock,Inter,-2.8709662854205433,-2.784441249036132,8.306298021834898,9.126772978860343,t-test,0.9471107272759691,0.9851596391469701,False,False
Inter_SomatoMotor__Default_AvgFalffW,Inter,0.0016342404508567303,0.001799485305355415,0.013546017510325671,0.013387486437708221,t-test,0.9344984942102004,0.9851596391469701,False,False
Inter_SomatoMotor__DorsalAttn_AvgWeight,Inter,0.011196514943230065,0.011510434463205599,0.0460679653818784,0.05140785214176341,t-test,0.9656867077896261,0.9851596391469701,False,False
Inter_DorsalAttn__Frontoparietal_EnergyBlock,Inter,1.0115263271971233,1.5220485096625382,9.222720935681384,9.803601641412572,Mann-Whitney U,0.9737472016153083,0.9851596391469701,False,False
Inter_DorsalAttn__Frontoparietal_AvgWeight,Inter,0.010337551836325712,0.011311535827136777,0.043888451052954976,0.03905051957077956,t-test,0.8750658179825623,0.9851596391469701,False,False
Inter_DorsalAttn__Salience/VentAttn_AvgWeight,Inter,0.02005968653922806,0.021417428612395362,0.044761303284513394,0.050757728617213636,t-test,0.849512194711183,0.9851596391469701,False,False
Inter_DorsalAttn__Frontoparietal_AvgFalffW,Inter,-0.0021048013299084923,-0.003153860439053899,0.01914097997409161,0.02036172363539567,Mann-Whitney U,0.9851596391469701,0.9851596391469701,False,False
Inter_SomatoMotor__Default_EnergyBlock,Inter,-1.1379202173688387,-1.250173346480094,9.548490913247585,9.449040769121385,t-test,0.9369117622506965,0.9851596391469701,False,False
